match_id,length,realm,map,killer_player,killer,kills,hooks,killer_result,killer_bp,survivor0_player,survivor0,survivor0_escaped,survivor0_bp,survivor1_player,survivor1,survivor1_escaped,survivor1_bp,survivor2_player,survivor2,survivor2_escaped,survivor2_bp,survivor3_player,survivor3,survivor3_escaped,survivor3_bp
10,14,Haddonfield,Lampkin Lane,Ohmwrecker,Demogorgon,2,6,Brutal Killer,11511,Umbra,Leon Scott Kennedy,True,30157,Skermz,Jonah Vasquez,False,30157,Ralph,Yun-Jin Lee,False,30157,Yerv,Detective David Tapp,True,30157
11,10,Crotus Prenn Asylum,Father Campbell's Chapel,ZubatLEL,Plague,1,3,Entity Displeased,19431,Otzdarva,Laurie Strode,True,22253,Fungoose,Steve Harrington,True,22253,praxz,Quentin Smith,False,22253,TrajceBrukata,Jake Park,True,22253
12,18,The MacMillan Estate,Suffocation Pit,praxz,Hillbilly,2,6,Entity Displeased,30449,Fungoose,Jill Valentine,True,30536,Ohmwrecker,Jeffrey "Jeff" Johansen,True,30536,TheJRM_,William "Bill" Overbeck,False,30536,SpookyLoopz,Jonah Vasquez,False,30536
13,13,Crotus Prenn Asylum,Disturbed Ward,Ayrun,Nurse,2,6,Brutal Killer,29710,Otzdarva,Ace Visconti,False,27871,Ralph,Claudette Morel,True,27871,ZubatLEL,Jonah Vasquez,True,27871,OhTofu,Yun-Jin Lee,False,27871
14,15,The MacMillan Estate,Groaning Storehouse,TrajceBrukata,Cenobite,1,9,Entity Displeased,17374,imPROBZZ,Ace Visconti,False,7462,OhTofu,Nancy Wheeler,True,7462,ZubatLEL,Jonah Vasquez,True,7462,Abadjar,Jane Romero,True,7462
15,12,Crotus Prenn Asylum,Disturbed Ward,Ralph,Trickster,3,9,Ruthless Killer,31058,ZubatLEL,Jill Valentine,True,27335,Bronx,Nancy Wheeler,False,27335,praxz,Jane Romero,False,27335,Ev3ntic,Yun-Jin Lee,False,27335
16,16,Haddonfield,Lampkin Lane,Bronx,Nightmare,0,8,Entity Displeased,22132,Umbra,Steve Harrington,True,19192,praxz,Cheryl Mason,True,19192,Trivialiac,Élodie Rakoto,True,19192,Ev3ntic,Jane Romero,True,19192
17,18,The MacMillan Estate,Suffocation Pit,ScottJund,Wraith,2,10,Entity Displeased,30234,imPROBZZ,Yui Kimura,False,10668,TrajceBrukata,Zarina Kassir,True,10668,ZubatLEL,Laurie Strode,False,10668,Bronx,Mikaela Reid,True,10668
18,12,Backwater Swamp,The Pale Rose,hexy,Nurse,0,0,Entity Displeased,11712,Ohmwrecker,Kate Denson,True,19113,TrU3Ta1ent,Jake Park,True,19113,Yerv,Élodie Rakoto,True,19113,Bronx,Detective David Tapp,True,19113
19,11,Crotus Prenn Asylum,Disturbed Ward,Otzdarva,Shape,0,0,Entity Displeased,28356,Ohmwrecker,Cheryl Mason,True,26315,praxz,Yui Kimura,True,26315,Umbra,Quentin Smith,True,26315,Trivialiac,Cheryl Mason,True,26315
20,7,Haddonfield,Lampkin Lane,ScottJund,Demogorgon,2,6,Brutal Killer,11002,hexy,Jonah Vasquez,True,25071,OhTofu,Nancy Wheeler,False,25071,Fungoose,Leon Scott Kennedy,False,25071,Trivialiac,Mikaela Reid,True,25071
21,15,Crotus Prenn Asylum,Father Campbell's Chapel,TrajceBrukata,Nightmare,3,11,Ruthless Killer,16924,OhTofu,Élodie Rakoto,False,13404,Ohmwrecker,Laurie Strode,True,13404,Ralph,Nea Karlsson,False,13404,Uncharted,Steve Harrington,False,13404
22,18,The MacMillan Estate,Coal Tower,Uncharted,Blight,4,12,Merciless Killer,7706,Ralph,Jane Romero,False,20846,imPROBZZ,Ace Visconti,False,20846,TrU3Ta1ent,Nea Karlsson,False,20846,Ev3ntic,Adam Francis,False,20846
23,14,The MacMillan Estate,Ironworks of Misery,Skermz,Trapper,4,12,Merciless Killer,27181,Abadjar,Meg Thomas,False,14830,Otzdarva,Jill Valentine,False,14830,Umbra,Dwight Fairfield,False,14830,TrajceBrukata,Nea Karlsson,False,14830
24,10,Haddonfield,Lampkin Lane,TrajceBrukata,Twins,1,3,Brutal Killer,8589,Uncharted,Leon Scott Kennedy,True,7117,Yerv,Nea Karlsson,False,7117,ScottJund,Quentin Smith,True,7117,OhTofu,Nea Karlsson,True,7117
25,14,Haddonfield,Lampkin Lane,SpookyLoopz,Trickster,4,12,Ruthless Killer,29302,ZubatLEL,Zarina Kassir,False,12827,OhTofu,Detective David Tapp,False,12827,imPROBZZ,Leon Scott Kennedy,False,12827,hexy,Leon Scott Kennedy,False,12827
26,19,Haddonfield,Lampkin Lane,praxz,Oni,1,9,Entity Displeased,26347,hexy,Nea Karlsson,True,13531,TrajceBrukata,Jill Valentine,True,13531,Ohmwrecker,David King,False,13531,Trivialiac,Jill Valentine,True,13531
27,16,Backwater Swamp,Grim Pantry,TrU3Ta1ent,Artist,0,0,Entity Displeased,12921,Yerv,Jill Valentine,True,31289,Uncharted,Jake Park,True,31289,ZubatLEL,Adam Francis,True,31289,praxz,Leon Scott Kennedy,True,31289
28,11,Haddonfield,Lampkin Lane,Bronx,Artist,1,9,Entity Displeased,22976,TrU3Ta1ent,Jane Romero,True,11219,TrajceBrukata,Adam Francis,False,11219,Ev3ntic,Meg Thomas,True,11219,Yerv,Feng Min,True,11219
29,10,The MacMillan Estate,Coal Tower,Trivialiac,Cannibal,4,12,Merciless Killer,14578,praxz,William "Bill" Overbeck,False,25783,hexy,Kate Denson,False,25783,Abadjar,Felix Richter,False,25783,Ev3ntic,Kate Denson,False,25783
30,19,Haddonfield,Lampkin Lane,TrajceBrukata,Hag,4,12,Merciless Killer,9630,TheJRM_,William "Bill" Overbeck,False,8986,Ohmwrecker,Yun-Jin Lee,False,8986,Yerv,Meg Thomas,False,8986,Otzdarva,Kate Denson,False,8986
31,8,Backwater Swamp,Grim Pantry,Ev3ntic,Spirit,0,8,Entity Displeased,16091,Bronx,Meg Thomas,True,23203,Ralph,Mikaela Reid,True,23203,ANGRYPUG,Cheryl Mason,True,23203,hexy,Ace Visconti,True,23203
32,11,The MacMillan Estate,Groaning Storehouse,Fungoose,Nightmare,1,3,Entity Displeased,20121,TrU3Ta1ent,Jill Valentine,False,9956,Ralph,Detective David Tapp,True,9956,hexy,Feng Min,True,9956,TrajceBrukata,Nea Karlsson,True,9956
33,16,The MacMillan Estate,Ironworks of Misery,Otzdarva,Cenobite,4,12,Merciless Killer,25979,Ohmwrecker,Quentin Smith,False,22406,Umbra,Leon Scott Kennedy,False,22406,TrajceBrukata,Quentin Smith,False,22406,Skermz,Cheryl Mason,False,22406
34,8,Haddonfield,Lampkin Lane,praxz,Blight,0,0,Entity Displeased,26831,ScottJund,Nea Karlsson,True,10446,Abadjar,Jill Valentine,True,10446,Fungoose,Meg Thomas,True,10446,ZubatLEL,Feng Min,True,10446
35,12,The MacMillan Estate,Suffocation Pit,OhTofu,Nightmare,1,3,Entity Displeased,13199,Trivialiac,Dwight Fairfield,False,16085,Abadjar,William "Bill" Overbeck,True,16085,Ohmwrecker,Nea Karlsson,True,16085,ZubatLEL,Steve Harrington,True,16085
36,12,The MacMillan Estate,Ironworks of Misery,SpookyLoopz,Trapper,2,10,Entity Displeased,10511,ZubatLEL,Steve Harrington,True,24429,Umbra,Dwight Fairfield,False,24429,hexy,William "Bill" Overbeck,True,24429,Abadjar,Jonah Vasquez,False,24429
37,11,The MacMillan Estate,Groaning Storehouse,Trivialiac,Twins,1,9,Entity Displeased,18107,OhTofu,Quentin Smith,True,5643,Ohmwrecker,Mikaela Reid,True,5643,Otzdarva,Zarina Kassir,True,5643,Umbra,Felix Richter,False,5643
38,16,Haddonfield,Lampkin Lane,ANGRYPUG,Huntress,3,9,Ruthless Killer,14369,Ayrun,Ash J. Williams,False,11629,TrU3Ta1ent,William "Bill" Overbeck,False,11629,TrajceBrukata,Nancy Wheeler,True,11629,Yerv,Felix Richter,False,11629
39,16,The MacMillan Estate,Suffocation Pit,TrU3Ta1ent,Ghost Face,1,9,Brutal Killer,7879,Bronx,Yui Kimura,True,13025,Ayrun,Feng Min,True,13025,Ohmwrecker,Mikaela Reid,False,13025,ZubatLEL,William "Bill" Overbeck,True,13025
40,19,The MacMillan Estate,Groaning Storehouse,Otzdarva,Legion,4,12,Merciless Killer,24448,Fungoose,Jill Valentine,False,12803,Bronx,Nea Karlsson,False,12803,ZubatLEL,Jill Valentine,False,12803,TrajceBrukata,Claudette Morel,False,12803
41,16,Haddonfield,Lampkin Lane,Otzdarva,Demogorgon,3,11,Ruthless Killer,7433,SpookyLoopz,Meg Thomas,True,13864,Abadjar,Nea Karlsson,False,13864,Ayrun,Quentin Smith,False,13864,Trivialiac,Jake Park,False,13864
42,12,Haddonfield,Lampkin Lane,imPROBZZ,Hillbilly,3,9,Ruthless Killer,10438,ScottJund,David King,False,8001,Ev3ntic,Jonah Vasquez,True,8001,Uncharted,Ace Visconti,False,8001,Yerv,Leon Scott Kennedy,False,8001
43,11,Backwater Swamp,Grim Pantry,Uncharted,Nightmare,4,12,Ruthless Killer,23173,hexy,Jill Valentine,False,8595,Fungoose,Jonah Vasquez,False,8595,TrU3Ta1ent,Feng Min,False,8595,ANGRYPUG,Yun-Jin Lee,False,8595
44,15,The MacMillan Estate,Coal Tower,imPROBZZ,Plague,2,10,Brutal Killer,13713,ScottJund,Ash J. Williams,False,18320,ZubatLEL,Ash J. Williams,False,18320,Otzdarva,Steve Harrington,True,18320,hexy,Ash J. Williams,True,18320
45,19,Backwater Swamp,The Pale Rose,Uncharted,Wraith,4,12,Ruthless Killer,12267,Ayrun,David King,False,24948,OhTofu,Leon Scott Kennedy,False,24948,Ohmwrecker,Jonah Vasquez,False,24948,Yerv,Cheryl Mason,False,24948
46,13,The MacMillan Estate,Ironworks of Misery,TheJRM_,Hillbilly,4,12,Ruthless Killer,20834,Ohmwrecker,Zarina Kassir,False,20211,hexy,Laurie Strode,False,20211,Skermz,Jake Park,False,20211,Abadjar,Leon Scott Kennedy,False,20211
47,17,Backwater Swamp,Grim Pantry,ANGRYPUG,Legion,1,9,Brutal Killer,7745,Ohmwrecker,Feng Min,True,23695,Abadjar,Felix Richter,False,23695,Trivialiac,Claudette Morel,True,23695,Yerv,Laurie Strode,True,23695
48,18,Crotus Prenn Asylum,Father Campbell's Chapel,praxz,Legion,0,8,Entity Displeased,30286,TrU3Ta1ent,Mikaela Reid,True,9003,Ohmwrecker,Jane Romero,True,9003,Ayrun,Quentin Smith,True,9003,ZubatLEL,Jeffrey "Jeff" Johansen,True,9003
49,7,Backwater Swamp,Grim Pantry,ZubatLEL,Trapper,3,11,Ruthless Killer,19640,TrajceBrukata,Ash J. Williams,False,24408,Fungoose,William "Bill" Overbeck,False,24408,Ayrun,Jonah Vasquez,True,24408,praxz,Zarina Kassir,False,24408
50,15,The MacMillan Estate,Groaning Storehouse,hexy,Plague,2,6,Brutal Killer,12191,Ohmwrecker,Zarina Kassir,False,19630,Skermz,Yun-Jin Lee,True,19630,Ev3ntic,Felix Richter,True,19630,Ayrun,Nancy Wheeler,False,19630
51,16,Crotus Prenn Asylum,Father Campbell's Chapel,Ralph,Deathslinger,1,9,Entity Displeased,19213,Yerv,Zarina Kassir,True,22793,Otzdarva,Meg Thomas,False,22793,ZubatLEL,Adam Francis,True,22793,Ev3ntic,Jake Park,True,22793
52,11,The MacMillan Estate,Groaning Storehouse,Ev3ntic,Twins,0,8,Entity Displeased,17953,Otzdarva,Mikaela Reid,True,6302,ANGRYPUG,Ash J. Williams,True,6302,ZubatLEL,Dwight Fairfield,True,6302,Yerv,Leon Scott Kennedy,True,6302
53,18,The MacMillan Estate,Shelter Woods,TrU3Ta1ent,Demogorgon,3,11,Ruthless Killer,15043,Umbra,Kate Denson,False,19803,Ohmwrecker,Cheryl Mason,False,19803,Otzdarva,Meg Thomas,False,19803,ANGRYPUG,Yui Kimura,True,19803
54,9,Haddonfield,Lampkin Lane,Bronx,Hag,2,6,Brutal Killer,10963,Otzdarva,Adam Francis,False,11223,Ev3ntic,Mikaela Reid,False,11223,SpookyLoopz,Detective David Tapp,True,11223,TheJRM_,Jeffrey "Jeff" Johansen,True,11223
55,13,Backwater Swamp,Grim Pantry,praxz,Nightmare,3,9,Ruthless Killer,27542,Otzdarva,Jeffrey "Jeff" Johansen,False,30447,Ayrun,William "Bill" Overbeck,False,30447,Ev3ntic,Jonah Vasquez,True,30447,TrajceBrukata,Dwight Fairfield,False,30447
56,16,The MacMillan Estate,Shelter Woods,ScottJund,Shape,2,10,Brutal Killer,19499,praxz,Claudette Morel,True,8623,Ayrun,Jonah Vasquez,False,8623,Skermz,Yun-Jin Lee,True,8623,SpookyLoopz,Nea Karlsson,False,8623
57,7,Haddonfield,Lampkin Lane,TrU3Ta1ent,Hag,3,9,Ruthless Killer,13760,Ayrun,Jane Romero,True,26320,ZubatLEL,Jeffrey "Jeff" Johansen,False,26320,Ohmwrecker,Yun-Jin Lee,False,26320,Otzdarva,Ace Visconti,False,26320
58,14,The MacMillan Estate,Coal Tower,Umbra,Cenobite,1,3,Brutal Killer,11167,Trivialiac,Élodie Rakoto,False,10197,Skermz,Detective David Tapp,True,10197,Uncharted,Jeffrey "Jeff" Johansen,True,10197,Ralph,Jonah Vasquez,True,10197
59,12,Crotus Prenn Asylum,Father Campbell's Chapel,Ev3ntic,Ghost Face,3,11,Ruthless Killer,22916,Ohmwrecker,Kate Denson,False,30642,Abadjar,Steve Harrington,True,30642,Ralph,Jeffrey "Jeff" Johansen,False,30642,Fungoose,Jeffrey "Jeff" Johansen,False,30642
60,11,Haddonfield,Lampkin Lane,Fungoose,Blight,3,11,Ruthless Killer,8924,ZubatLEL,Élodie Rakoto,False,21261,Bronx,Cheryl Mason,True,21261,TrU3Ta1ent,Jake Park,False,21261,Trivialiac,Detective David Tapp,False,21261
61,12,The MacMillan Estate,Shelter Woods,OhTofu,Deathslinger,3,9,Ruthless Killer,9233,Skermz,Feng Min,True,29641,Ayrun,Élodie Rakoto,False,29641,hexy,Yun-Jin Lee,False,29641,Bronx,William "Bill" Overbeck,False,29641
62,8,The MacMillan Estate,Shelter Woods,praxz,Spirit,0,0,Entity Displeased,11703,Bronx,David King,True,15541,Ohmwrecker,Laurie Strode,True,15541,Yerv,Feng Min,True,15541,Fungoose,William "Bill" Overbeck,True,15541
63,10,The MacMillan Estate,Coal Tower,Ralph,Demogorgon,4,12,Ruthless Killer,20324,TheJRM_,Jake Park,False,27699,Umbra,Mikaela Reid,False,27699,Trivialiac,Dwight Fairfield,False,27699,praxz,Ash J. Williams,False,27699
64,8,Crotus Prenn Asylum,Father Campbell's Chapel,praxz,Blight,1,3,Entity Displeased,22787,ZubatLEL,Steve Harrington,False,21195,Bronx,Jill Valentine,True,21195,Ralph,Jeffrey "Jeff" Johansen,True,21195,OhTofu,Yui Kimura,True,21195
65,10,Haddonfield,Lampkin Lane,Ralph,Plague,2,10,Brutal Killer,31785,ScottJund,Mikaela Reid,False,10917,Ayrun,Kate Denson,True,10917,TrajceBrukata,Jake Park,False,10917,Ev3ntic,Ash J. Williams,True,10917
66,18,Backwater Swamp,The Pale Rose,imPROBZZ,Pig,3,11,Ruthless Killer,22720,Skermz,Dwight Fairfield,False,30013,ScottJund,Detective David Tapp,False,30013,Abadjar,Ace Visconti,False,30013,Otzdarva,Jeffrey "Jeff" Johansen,True,30013
67,7,The MacMillan Estate,Groaning Storehouse,Bronx,Doctor,1,9,Entity Displeased,7349,ZubatLEL,Jonah Vasquez,True,30866,ANGRYPUG,Kate Denson,True,30866,Skermz,Steve Harrington,False,30866,Trivialiac,Steve Harrington,True,30866
68,15,Haddonfield,Lampkin Lane,hexy,Artist,0,8,Entity Displeased,28794,ZubatLEL,William "Bill" Overbeck,True,19111,Ayrun,Yui Kimura,True,19111,OhTofu,Ace Visconti,True,19111,Skermz,William "Bill" Overbeck,True,19111
69,11,Haddonfield,Lampkin Lane,SpookyLoopz,Nemesis,3,9,Ruthless Killer,12213,ScottJund,Ace Visconti,False,19159,Umbra,Adam Francis,False,19159,imPROBZZ,Yui Kimura,False,19159,Ralph,Zarina Kassir,True,19159
70,18,Haddonfield,Lampkin Lane,OhTofu,Blight,3,9,Ruthless Killer,12928,Fungoose,Nea Karlsson,True,27831,TrU3Ta1ent,Zarina Kassir,False,27831,Trivialiac,Ash J. Williams,False,27831,Ev3ntic,Yui Kimura,False,27831
71,12,Crotus Prenn Asylum,Father Campbell's Chapel,Ev3ntic,Demogorgon,4,12,Ruthless Killer,25092,ANGRYPUG,Yun-Jin Lee,False,13259,hexy,Yui Kimura,False,13259,ZubatLEL,Nancy Wheeler,False,13259,ScottJund,Ash J. Williams,False,13259
72,9,The MacMillan Estate,Ironworks of Misery,Bronx,Hillbilly,2,6,Brutal Killer,23625,Ohmwrecker,Kate Denson,True,12296,Trivialiac,Laurie Strode,True,12296,praxz,Felix Richter,False,12296,Yerv,Detective David Tapp,False,12296
73,10,Backwater Swamp,Grim Pantry,SpookyLoopz,Blight,0,8,Entity Displeased,26184,TrajceBrukata,Élodie Rakoto,True,25666,imPROBZZ,Jake Park,True,25666,Ohmwrecker,Quentin Smith,True,25666,Uncharted,Leon Scott Kennedy,True,25666
74,20,Backwater Swamp,Grim Pantry,Ohmwrecker,Nurse,2,10,Entity Displeased,13218,OhTofu,Cheryl Mason,False,10961,Yerv,Laurie Strode,True,10961,Ayrun,Mikaela Reid,True,10961,ScottJund,Zarina Kassir,False,10961
75,14,Haddonfield,Lampkin Lane,Skermz,Blight,0,0,Entity Displeased,7891,ZubatLEL,Steve Harrington,True,23869,TheJRM_,Jill Valentine,True,23869,praxz,William "Bill" Overbeck,True,23869,Uncharted,Cheryl Mason,True,23869
76,11,Haddonfield,Lampkin Lane,Otzdarva,Hag,0,0,Entity Displeased,31116,Trivialiac,Jill Valentine,True,14069,Uncharted,Meg Thomas,True,14069,Skermz,Yun-Jin Lee,True,14069,ZubatLEL,Quentin Smith,True,14069
77,12,Crotus Prenn Asylum,Disturbed Ward,Ev3ntic,Nightmare,1,9,Entity Displeased,10531,ScottJund,Detective David Tapp,True,6320,Ayrun,Nea Karlsson,True,6320,Umbra,Kate Denson,False,6320,Uncharted,Jonah Vasquez,True,6320
78,15,Backwater Swamp,Grim Pantry,TrU3Ta1ent,Ghost Face,4,12,Ruthless Killer,27397,Umbra,Nancy Wheeler,False,21381,ANGRYPUG,Mikaela Reid,False,21381,Yerv,Feng Min,False,21381,imPROBZZ,Yui Kimura,False,21381
79,12,Haddonfield,Lampkin Lane,Bronx,Hag,0,8,Entity Displeased,12419,Trivialiac,Kate Denson,True,13112,Fungoose,Jonah Vasquez,True,13112,Ayrun,Nea Karlsson,True,13112,Uncharted,Mikaela Reid,True,13112
80,17,The MacMillan Estate,Ironworks of Misery,Ayrun,Twins,4,12,Ruthless Killer,31284,Yerv,Jake Park,False,26109,Bronx,Jonah Vasquez,False,26109,Otzdarva,Mikaela Reid,False,26109,Skermz,Yun-Jin Lee,False,26109
81,12,Backwater Swamp,Grim Pantry,TheJRM_,Trapper,2,6,Entity Displeased,23824,Ev3ntic,Yun-Jin Lee,True,10881,SpookyLoopz,Jake Park,False,10881,TrU3Ta1ent,Claudette Morel,False,10881,praxz,Nea Karlsson,True,10881
82,8,Crotus Prenn Asylum,Father Campbell's Chapel,Ohmwrecker,Nemesis,3,9,Ruthless Killer,20687,ZubatLEL,Jonah Vasquez,False,6723,Otzdarva,Kate Denson,True,6723,SpookyLoopz,Élodie Rakoto,False,6723,Ev3ntic,Feng Min,False,6723
83,16,Haddonfield,Lampkin Lane,hexy,Hag,0,0,Entity Displeased,7808,Ohmwrecker,Ash J. Williams,True,21984,Ev3ntic,Dwight Fairfield,True,21984,imPROBZZ,Detective David Tapp,True,21984,Otzdarva,Yun-Jin Lee,True,21984
84,13,Backwater Swamp,Grim Pantry,ScottJund,Ghost Face,3,9,Ruthless Killer,20798,Umbra,Ace Visconti,False,29817,Uncharted,Feng Min,True,29817,Abadjar,Adam Francis,False,29817,Fungoose,Leon Scott Kennedy,False,29817
85,17,Haddonfield,Lampkin Lane,ANGRYPUG,Demogorgon,4,12,Ruthless Killer,10011,Ohmwrecker,Dwight Fairfield,False,28921,Yerv,Cheryl Mason,False,28921,praxz,Jane Romero,False,28921,imPROBZZ,Zarina Kassir,False,28921
86,18,Backwater Swamp,Grim Pantry,hexy,Executioner,2,6,Brutal Killer,26687,Trivialiac,Zarina Kassir,True,9262,TrajceBrukata,Yui Kimura,False,9262,TrU3Ta1ent,Ace Visconti,True,9262,Ralph,Quentin Smith,False,9262
87,20,The MacMillan Estate,Groaning Storehouse,TrU3Ta1ent,Hag,0,8,Entity Displeased,23234,Bronx,Adam Francis,True,5287,Ohmwrecker,Cheryl Mason,True,5287,Skermz,Mikaela Reid,True,5287,praxz,Leon Scott Kennedy,True,5287
88,13,Crotus Prenn Asylum,Father Campbell's Chapel,hexy,Plague,2,10,Entity Displeased,20738,ANGRYPUG,Detective David Tapp,False,29979,Ayrun,Zarina Kassir,True,29979,Ralph,Laurie Strode,False,29979,imPROBZZ,Jill Valentine,True,29979
89,7,Haddonfield,Lampkin Lane,TheJRM_,Cenobite,2,6,Brutal Killer,20724,Trivialiac,Kate Denson,True,20546,ANGRYPUG,Jonah Vasquez,False,20546,Ev3ntic,Dwight Fairfield,True,20546,Skermz,Laurie Strode,False,20546
90,10,The MacMillan Estate,Suffocation Pit,praxz,Demogorgon,2,10,Brutal Killer,26963,Ohmwrecker,Detective David Tapp,False,13880,Ayrun,Felix Richter,True,13880,Otzdarva,Ash J. Williams,True,13880,OhTofu,William "Bill" Overbeck,False,13880
91,10,The MacMillan Estate,Shelter Woods,Abadjar,Huntress,0,8,Entity Displeased,13276,hexy,Mikaela Reid,True,10846,Umbra,Jeffrey "Jeff" Johansen,True,10846,Trivialiac,Mikaela Reid,True,10846,Ohmwrecker,Mikaela Reid,True,10846
92,16,Haddonfield,Lampkin Lane,TrajceBrukata,Cenobite,2,6,Brutal Killer,31020,ZubatLEL,Felix Richter,False,20860,Bronx,Adam Francis,False,20860,Uncharted,Dwight Fairfield,True,20860,hexy,Meg Thomas,True,20860
93,12,Crotus Prenn Asylum,Disturbed Ward,Uncharted,Trickster,2,10,Entity Displeased,15329,praxz,Meg Thomas,False,25329,ZubatLEL,Élodie Rakoto,False,25329,Bronx,David King,True,25329,Fungoose,Zarina Kassir,True,25329
94,18,The MacMillan Estate,Coal Tower,TheJRM_,Legion,3,9,Ruthless Killer,16079,Bronx,Quentin Smith,False,31404,Umbra,Yun-Jin Lee,False,31404,Ohmwrecker,Ash J. Williams,True,31404,ZubatLEL,Nancy Wheeler,False,31404
95,12,Crotus Prenn Asylum,Father Campbell's Chapel,hexy,Legion,2,6,Entity Displeased,9132,Trivialiac,Ash J. Williams,False,18284,Abadjar,Jeffrey "Jeff" Johansen,False,18284,OhTofu,Adam Francis,True,18284,Ayrun,Ace Visconti,True,18284
96,13,The MacMillan Estate,Groaning Storehouse,TheJRM_,Oni,3,11,Ruthless Killer,17408,Bronx,Zarina Kassir,False,23461,praxz,Jake Park,True,23461,SpookyLoopz,Quentin Smith,False,23461,Yerv,Nea Karlsson,False,23461
97,11,Crotus Prenn Asylum,Disturbed Ward,TheJRM_,Plague,1,3,Brutal Killer,15937,OhTofu,Adam Francis,True,26773,Uncharted,Mikaela Reid,True,26773,imPROBZZ,Adam Francis,True,26773,Trivialiac,Detective David Tapp,False,26773
98,8,Haddonfield,Lampkin Lane,OhTofu,Hillbilly,3,11,Ruthless Killer,7248,TheJRM_,Yui Kimura,False,21693,Abadjar,Ash J. Williams,False,21693,TrajceBrukata,Quentin Smith,False,21693,Uncharted,Jake Park,True,21693
99,7,Backwater Swamp,The Pale Rose,Trivialiac,Demogorgon,3,9,Ruthless Killer,28630,Ohmwrecker,Feng Min,True,16318,SpookyLoopz,Yui Kimura,False,16318,Bronx,Jane Romero,False,16318,Ralph,Ash J. Williams,False,16318
100,7,The MacMillan Estate,Groaning Storehouse,Skermz,Blight,2,10,Entity Displeased,6597,Bronx,William "Bill" Overbeck,True,15759,ANGRYPUG,Laurie Strode,False,15759,hexy,Ace Visconti,True,15759,Fungoose,Nancy Wheeler,False,15759
101,19,The MacMillan Estate,Groaning Storehouse,Ayrun,Deathslinger,0,0,Entity Displeased,5812,ANGRYPUG,Laurie Strode,True,30269,imPROBZZ,Dwight Fairfield,True,30269,TrajceBrukata,Nea Karlsson,True,30269,SpookyLoopz,Jeffrey "Jeff" Johansen,True,30269
102,7,The MacMillan Estate,Groaning Storehouse,Umbra,Twins,3,9,Ruthless Killer,5545,ScottJund,Quentin Smith,False,11659,Ohmwrecker,Detective David Tapp,False,11659,SpookyLoopz,Laurie Strode,True,11659,TrajceBrukata,Claudette Morel,False,11659
